category	status	severity	package	symbol	score	cpp_anchor	selfhost_anchor	cpp_br	cpp_lp	cpp_ret	cj_br	cj_lp	cj_ret	missing_calls
flow	retained	P2	chir	HandleNormalExpressionEffect	15	CHIR/Analysis/TypeAnalysis.cpp:172;CHIR/Analysis/ValueRangeAnalysis.cpp:193	chir/src/ConstAnalysis.cj:50;chir/src/ValueAnalysis.cj:690;chir/src/ValueRangeAnalysis.cj:486	18	0	5	17	0	5	GetBoolDomainFromState, GetSIntDomainFromState, HandleBoxExpr, HandleTypeCastExpr, IsGeneric, IsTop, Update
flow	retained	P2	chir	TranslateExpression	15	CHIR/Interpreter/CHIR2BCHIR.cpp:415	chir/src/CHIR2BCHIR.cj:294	8	1	0	7	1	0	GetResult, TranslateBinaryExpression, TranslateMemoryExpression, TranslateOthersExpression, TranslateTerminatorExpression, TranslateUnaryExpression, TranslateValue
flow	retained	P2	chir	CheckExponentiationExpression	14	CHIR/Checker/CHIRChecker.cpp:2896	chir/src/CHIRChecker.cj:1111	7	0	0	7	0	1	GetLHSOperand, GetOverflowStrategy, GetRHSOperand, GetRawExpr, GetResult, GetType, OverflowStrategyMustBeValid
flow	retained	P2	chir	CloneBlockGroup	14	CHIR/Optimization/BlockGroupCopyHelper.cpp:23	chir/src/BlockGroupCopyHelper.cj:15	3	2	1	0	1	1	GetOwnerExpression, GetOwnerFunc, GetReturnValue, IsLocalVar, RemoveSelfFromBlock
flow	retained	P2	chir	SetAnnotationTargets	14	CHIR/AST2CHIR/ASTPackage2CHIR.cpp:1100;CHIR/IR/Type/ClassDef.cpp:57	chir/src/ClassDef.cj:55	3	2	1	0	1	0	CreateAnnotationTargetVar, CreateInitFuncForAnnotationTargetVar, SetAnnotationTargets, SetInitFunc, TestAttr
flow	retained	P2	chir	TranslateIntrinsicExpression	14	CHIR/Interpreter/CHIR2BCHIR/TranslateIntrinsic.cpp:109;CHIR/Interpreter/CHIR2BCHIR/TranslateIntrinsic.cpp:21	chir/src/TranslateIntrinsic.cj:5	19	0	4	15	0	2	GetExprKind, GetOperands, GetTypeArgs, IsStruct, Push
flow	retained	P2	chir	UseBeforeInitCheck	14	CHIR/Checker/VarInitCheck.cpp:128	chir/src/VarInitCheck.cj:83	18	0	6	14	0	5	GetMaybeUninitedLocalMembers, GetParentBlock, GetParentBlockGroup, HasFuncCallWithNothingRetVal, RaiseUninitedDefMemberError
flow	retained	P2	chir	CheckApplyThisType	13	CHIR/Checker/CHIRChecker.cpp:2133	chir/src/CHIRChecker.cj:1834	11	1	11	7	0	0	CheckThisTypeIsEqualOrSubTypeOfFuncParentType, ErrorInExpr, FuncCanBeDynamicDispatch, ToString
flow	retained	P2	chir	CreateMemberVarInAutoEnvImplDef	13	CHIR/Transformation/ClosureConversion.cpp:1777	chir/src/ClosureConversion.cj:606	3	1	0	0	1	0	GenerateSrcCodeIdentifier, GetDebugExpr, GetExpr, IsMutableVarType, ReplaceRawGenericArgType
flow	retained	P2	chir	PrintWarning	13	CHIR/Checker/UnreachableBranchCheck.cpp:61	chir/src/UnreachableBranchCheck.cj:128	12	1	4	5	1	1	DiagnoseRefactor, GetKeyWordBySourceExpr, IsCrossPackage
